Time::Relative Time!!R,Markers::Markers,Channel1_R1_Area::EGFP_R1_Area!!R,Channel1_R1_IntensityMean::EGFP_R1_IntensityMean!!R,Channel1_R1_IntensitySum1::EGFP_R1_IntensitySum1!!R,Channel1_R1_IntensityMaximum::EGFP_R1_IntensityMaximum!!R,Channel1_R2_Area::EGFP_R2_Area!!R,Channel1_R2_IntensityMean::EGFP_R2_IntensityMean!!R,Channel1_R2_IntensitySum1::EGFP_R2_IntensitySum1!!R,Channel1_R2_IntensityMaximum::EGFP_R2_IntensityMaximum!!R,Channel1_R3_Area::EGFP_R3_Area!!R,Channel1_R3_IntensityMean::EGFP_R3_IntensityMean!!R,Channel1_R3_IntensitySum1::EGFP_R3_IntensitySum1!!R,Channel1_R3_IntensityMaximum::EGFP_R3_IntensityMaximum!!R,Channel1_R4_Area::EGFP_R4_Area!!R,Channel1_R4_IntensityMean::EGFP_R4_IntensityMean!!R,Channel1_R4_IntensitySum1::EGFP_R4_IntensitySum1!!R,Channel1_R4_IntensityMaximum::EGFP_R4_IntensityMaximum!!R
Ms,,,,,,,,,,,,,,,,,
13219.8529,,26620.88,2108.488827,0,0,26614.12,2334.569977,0,0,26769.6,2647.40303,0,0,26843.96,1921.449257,0,0
13229.8603,,26620.88,2084.970797,0,0,26614.12,2302.760478,0,0,26769.6,2621.232323,0,0,26843.96,1900.344498,0,0
13239.8678,,26620.88,2064.870239,0,0,26614.12,2281.530099,0,0,26769.6,2584.475758,0,0,26843.96,1884.815412,0,0
13249.8753,,26620.88,2038.854495,0,0,26614.12,2250.052578,0,0,26769.6,2554.82803,0,0,26843.96,1859.883405,0,0
13259.8827,,26620.88,2019.459878,0,0,26614.12,2224.288799,0,0,26769.6,2518.167172,0,0,26843.96,1843.906321,0,0
13269.8902,,26620.88,1995.455307,0,0,26614.12,2194.630175,0,0,26769.6,2485.777778,0,0,26843.96,1818.98338,0,0
13279.8976,,26620.88,1977.533012,0,0,26614.12,2171.362713,0,0,26769.6,2449.531313,0,0,26843.96,1800.46764,0,0
13289.9051,,26620.88,1950.884205,0,0,26614.12,2138.241554,0,0,26769.6,2417.131061,0,0,26843.96,1779.331151,0,0
13299.9126,,26620.88,1931.048756,0,0,26614.12,2114.863094,0,0,26769.6,2385.331818,0,0,26843.96,1761.811886,0,0
13309.92,,26620.88,1905.351447,0,0,26614.12,2080.08509,0,0,26769.6,2354.276768,0,0,26843.96,1737.51171,0,0
13319.9275,,26620.88,1884.844337,0,0,26614.12,2058.03683,0,0,26769.6,2319.342929,0,0,26843.96,1721.490305,0,0
13329.9349,,26620.88,1860.099289,0,0,26614.12,2028.244348,0,0,26769.6,2289.489141,0,0,26843.96,1698.196676,0,0
13339.9424,,26620.88,1840.273743,0,0,26614.12,2005.990094,0,0,26769.6,2256.465152,0,0,26843.96,1681.376983,0,0
13349.9498,,26620.88,1815.223972,0,0,26614.12,1972.657099,0,0,26769.6,2224.584848,0,0,26843.96,1659.691765,0,0
13359.9573,,26620.88,1796.154647,0,0,26614.12,1949.784608,0,0,26769.6,2193.383586,0,0,26843.96,1642.228154,0,0
13369.9648,,26620.88,1771.11808,0,0,26614.12,1917.930404,0,0,26769.6,2161.499242,0,0,26843.96,1617.375976,0,0
13379.9722,,26620.88,1751.086338,0,0,26614.12,1897.388113,0,0,26769.6,2131.792424,0,0,26843.96,1602.489801,0,0
13389.9797,,26620.88,1725.865668,0,0,26614.12,1866.630429,0,0,26769.6,2100.471465,0,0,26843.96,1580.618988,0,0
13399.9871,,26620.88,1709.316658,0,0,26614.12,1845.513843,0,0,26769.6,2072.519697,0,0,26843.96,1563.860489,0,0
13409.9946,,26620.88,1684.076435,0,0,26614.12,1817.358395,0,0,26769.6,2041.226263,0,0,26843.96,1542.47444,0,0
13420.0021,,26620.88,1664.344337,0,0,26614.12,1794.885192,0,0,26769.6,2014.332576,0,0,26843.96,1527.989927,0,0
13430.0095,,26620.88,1642.409599,0,0,26614.12,1769.861316,0,0,26769.6,1984.62096,0,0,26843.96,1509.068748,0,0
13440.017,,26620.88,1624.553834,0,0,26614.12,1747.400305,0,0,26769.6,1960.848232,0,0,26843.96,1491.481491,0,0
13450.0244,,26620.88,1602.945404,0,0,26614.12,1723.206756,0,0,26769.6,1930.603283,0,0,26843.96,1474.078066,0,0
