Time,Mean1,Mean2
12489.3084,0.7055397640946139,0.6919024347660251
12499.3159,0.7284293091825128,0.7214001120931707
12509.3233,0.7514092457329793,0.7509905651631109
12519.3308,0.7741138636567502,0.7802204138906756
12529.3382,0.7961909214676676,0.8086797479684849
12539.3457,0.8173389542459294,0.8360189426371425
12549.3532,0.8373544412285752,0.8619603819343991
12559.3606,0.8561253719443642,0.88633606671195
12569.3681,0.8735855281851544,0.9090456984678362
12579.3755,0.8897051442479098,0.9300226470814408
12589.383,0.9044976505707435,0.9492495159883003
12599.3904,0.917994440740673,0.9667216088544457
12609.3979,0.9302373253457514,0.9824774395599696
12619.4054,0.9412813963732987,0.996624682389591
12629.4128,0.9512002835733927,1.0092853631110141
12639.4203,0.9600841386974348,1.0205420710937008
12649.4277,0.9679800882420573,1.030453129208718
12659.4352,0.9749120459233193,1.0390877135325038
12669.4427,0.9809653991805602,1.0465337583853433
12679.4501,0.9862323831243337,1.0528901565274023
12689.4576,0.9907670201161523,1.058255745813475
12699.465,0.9946165312362233,1.062701886407556
12709.4725,0.9978253154001389,1.066276381771287
12719.4799,1.0004263457552418,1.0690286952470367
12729.4874,1.0024375699662915,1.071004325199801
12739.4949,1.0039005298487598,1.0722595313853647
12749.5023,1.004872216375027,1.0728645941938868
12759.5098,1.005374394531888,1.0728452347300037
12769.5172,1.005426075126074,1.0722169413828073
12779.5247,1.0050509136174142,1.0710075238686358
12789.5322,1.0042669789486862,1.0692224166023907
12799.5396,1.0030825008195632,1.0668689809974268
12809.5471,1.0014936617808885,1.0639779806174343
12819.5545,0.9995139075114894,1.0606068965813222
12829.562,0.9971791020848094,1.0568014819029712
12839.5695,0.9945026281055355,1.0525663525279247
12849.5769,0.9914796423283494,1.047895414556852
12859.5844,0.9881466086729239,1.0428102698218318
12869.5918,0.9845419000201272,1.0373513019038656
12879.5993,0.9806704025492623,1.0315527437207874
12889.6067,0.9765382795885331,1.0254252489550417
12899.6142,0.9721676600771918,1.0189759160955332
12909.6217,0.9675946014567663,1.0122699113214815
12919.6291,0.962841209510566,1.005374545323773
12929.6366,0.9579348759535236,0.9983083280879957
12939.644,0.9529171897839522,0.9910893733286464
12949.6515,0.9477915963544324,0.9837423070104647
12959.659,0.9425557021334454,0.9762994362151343
12969.6664,0.9372404992087219,0.9687899574832594
12979.6739,0.9318719736640695,0.9612235192886934
12989.6813,0.9264475409032165,0.9536191053143979
12999.6888,0.9209731074765932,0.9460096718672708
13009.6962,0.9154873979367517,0.9384058632232778
13019.7037,0.9100301086133898,0.9308097944906146
13029.7112,0.9046089042807909,0.923237625326531
13039.7186,0.8992177847590269,0.915710367990196
13049.7261,0.8938604389721047,0.9082385057596842
13059.7335,0.8885465667297544,0.9008352761290284
13069.741,0.883287531038578,0.8935495524329392
13079.7485,0.8780965715624186,0.8864016398096143
13089.7559,0.8729846817308039,0.87934829001825
13099.7634,0.8679471117561384,0.8723618481119706
13109.7708,0.862968192003305,0.8654690712828272
13119.7783,0.8580483294162473,0.8586871461556322
13129.7858,0.8532072698008333,0.8520043067719443
13139.7932,0.8484767254027519,0.8454517241036883
13149.8007,0.8438612742241434,0.8390542303771387
13159.8081,0.8393448008082509,0.8328049120050907
13169.8156,0.8349316207858628,0.8267131751111875
13179.823,0.8306182894841346,0.8207756328770002
13189.8305,0.8263966257182944,0.8149863637680698
13199.838,0.8222818493659491,0.8093494612798626
13209.8454,0.8182829516119617,0.803845959316141
13219.8529,0.8143894887868216,0.7984713248538708
13229.8603,0.8105968720286594,0.7932551190560664
13239.8678,0.8069126199030319,0.7882058397566281
13249.8753,0.8033317961279907,0.7833022646731101
13259.8827,0.799839660504743,0.7785311656184493
13269.8902,0.7964471173012416,0.7738961167391487
13279.8976,0.7931752169425907,0.7694127128089258
13289.9051,0.7900179669147633,0.76509379620303
13299.9126,0.786968452218572,0.760938382080076
13309.92,0.7840359061449447,0.7569383995336245
13319.9275,0.7812231498078637,0.7530983372050932
13329.9349,0.7785422179817625,0.7494373940385466
13339.9424,0.7760255322366201,0.7459740722088798
13349.9498,0.7736897197943303,0.7427307779157499
13359.9573,0.7715396661083118,0.7397524253852236
13369.9648,0.769601826671806,0.7370863934933429
13379.9722,0.7679257445190937,0.7347643046230599
13389.9797,0.7665678814855729,0.7328287083136786
13399.9871,0.7655862458172181,0.7313677132847964
13409.9946,0.7650622084506465,0.7305041518750464
13420.0021,0.7651067045855234,0.7303715929341019
13430.0095,0.765852584761888,0.7311492887955409
13440.017,0.7674768136757433,0.7330795652545624
13450.0244,0.7702233680393417,0.7364723249905711
13460.0319,0.7744032088567805,0.7417309451757237
13470.0393,0.7803870692380033,0.7493375379979766
13480.0468,0.7884820184047001,0.7596402621183478
13490.0543,0.7986953057471241,0.7725608815757828
13500.0617,0.8107127838416859,0.7876532673503281
13510.0692,0.8240707081760331,0.8043572231608197
13520.0766,0.8382940118227507,0.8221097749188572
13530.0841,0.8529722615674498,0.8404093710420668
13540.0916,0.8677663324288276,0.8588354260623229
13550.099,0.8823829806622746,0.8770100561013533
13560.1065,0.8965717922110866,0.8946508236601824
13570.1139,0.9101545543419248,0.9115758308684513
13580.1214,0.9230301710012241,0.9276404551271384
13590.1289,0.935144355384645,0.9427487476749212
13600.1363,0.94646935107109,0.9568508654632084
13610.1438,0.9569978097178736,0.9699212071410893
13620.1512,0.9667330557671404,0.9819478247854071
13630.1587,0.9756788950076895,0.9929385570901783
13640.1661,0.9838407666386,1.0029451490493266
13650.1736,0.9912487417139835,1.011999784719905
13660.1811,0.9979494448786115,1.0201086322924175
13670.1885,1.0039870379863731,1.0273400561318802
13680.196,1.0093900093846722,1.0337611981404746
13690.2034,1.0141740113773468,1.0393716467884846
13700.2109,1.018360354503368,1.044178409677908
13710.2184,1.0219735262158058,1.0482379207592583
13720.2258,1.0250451186920926,1.051621621306551
13730.2333,1.027597148625013,1.0543642402699038
13740.2407,1.029648582858763,1.0564805042101544
13750.2482,1.0312306404857103,1.0580147469401078
13760.2556,1.0323543017527763,1.058989254535827
13770.2631,1.0330273078732108,1.0593977191464203
13780.2706,1.0332561566596878,1.0592517460437312
13790.278,1.033038239517507,1.0585702262007817
13800.2855,1.032386080288575,1.057355290712167
13810.2929,1.0313327290003844,1.0556098351404621
13820.3004,1.0298966470638105,1.0533475777994283
13830.3079,1.0280678990393597,1.0505880318824907
13840.3153,1.0258413525861383,1.0473639866581987
13850.3228,1.0232418055703267,1.0437087304177062
13860.3302,1.020296102009757,1.0396363981254075
13870.3377,1.0170174634953,1.035157614274702
13880.3452,1.0134424455535378,1.0302789809178177
13890.3526,1.0096029251122736,1.0250083325421449
13900.3601,1.0055012842039908,1.0193808591763387
13910.3675,1.0011541839221103,1.0134522646279596
13920.375,0.9965878633424311,1.0072876921409144
13930.3824,0.9918321549250645,1.0009459545045603
13940.3899,0.9869302485696825,0.9944346708669769
13950.3974,0.9818940905060387,0.9877348665258998
13960.4048,0.9767118080988679,0.9808536588669653
13970.4123,0.9714045427618804,0.9738245295817433
13980.4197,0.96600160378253,0.9666851141440599
13990.4272,0.9605323536863,0.9594757137132327
14000.4347,0.9550368208706579,0.9522433110671381
14010.4421,0.9495293279415153,0.9450141610488639
14020.4496,0.9440152074450822,0.937807912899469
14030.457,0.9385109859628691,0.9306476512790648
14040.4645,0.9330313302575223,0.9235185913472493
14050.4719,0.9275789073967788,0.916406053593042
14060.4794,0.9221550249628158,0.9093400246053025
14070.4869,0.9167780825310827,0.9023369658807214
14080.4943,0.9114549754098551,0.8953882867195302
14090.5018,0.906182739422878,0.8885029159859449
14100.5092,0.9009711982986046,0.8817026355634616
14110.5167,0.8958160430328288,0.8749991524721974
14120.5242,0.8906961200618165,0.8683861339220245
14130.5316,0.8856316628200109,0.8618665010009916
14140.5391,0.8806878880916806,0.8554711331684461
14150.5465,0.875887987156793,0.8492236164246502
14160.554,0.8712159131607918,0.843119394722519
14170.5615,0.8666658075743501,0.8371674031684782
14180.5689,0.8622348427246704,0.8313976142856744
